name,year,theme,theme_id,num_parts,img_url
Celebration,2000,Scala,668,39,https://cdn.rebrickable.com/media/sets/3159-1.jpg
Play Plane,2001,Primo,440,2,https://cdn.rebrickable.com/media/sets/3160-1.jpg
Fire Fighter Ship,1978,Boat,363,142,https://cdn.rebrickable.com/media/sets/316-1.jpg
Soft Stacking Hen,2001,Primo,440,5,https://cdn.rebrickable.com/media/sets/3161-1.jpg
Farm Tractor,1963,System,365,49,https://cdn.rebrickable.com/media/sets/316-2.jpg
Take Along Friend,2001,Primo,440,2,https://cdn.rebrickable.com/media/sets/3162-1.jpg
Farm Tractor,1968,Samsonite,756,49,https://cdn.rebrickable.com/media/sets/316-3.jpg
Crib and Mirror Adventure,2001,Primo,440,2,https://cdn.rebrickable.com/media/sets/3169-1.jpg
Light and Sound Stacker,2001,Primo,440,10,https://cdn.rebrickable.com/media/sets/3170-1.jpg
Truck,1963,System,365,125,https://cdn.rebrickable.com/media/sets/317-1.jpg
Basic Building Set,1987,Basic,467,68,https://cdn.rebrickable.com/media/sets/317-2.jpg
Soft Frog Rattle,2001,Primo,440,1,https://cdn.rebrickable.com/media/sets/3172-1.jpg
Truck,1968,Samsonite,756,125,https://cdn.rebrickable.com/media/sets/317-3.jpg
Caterpillar Teether,2001,Primo,440,1,https://cdn.rebrickable.com/media/sets/3173-1.jpg
Small Car,2010,Traffic,63,43,https://cdn.rebrickable.com/media/sets/3177-1.jpg
Seaplane,2010,Harbor,59,102,https://cdn.rebrickable.com/media/sets/3178-1.jpg
Repair Truck,2010,Traffic,63,123,https://cdn.rebrickable.com/media/sets/3179-1.jpg
Tank Truck,2010,Traffic,63,222,https://cdn.rebrickable.com/media/sets/3180-1.jpg
Windmill Set,1963,System,365,153,https://cdn.rebrickable.com/media/sets/318-1.jpg
Passenger Plane,2010,Airport,53,309,https://cdn.rebrickable.com/media/sets/3181-1.jpg
Passenger Plane - ANA Version,2010,Airport,53,310,https://cdn.rebrickable.com/media/sets/3181-2.jpg
Airport,2010,Airport,53,705,https://cdn.rebrickable.com/media/sets/3182-1.jpg
Stephanie's Cool Convertible,2012,Friends,494,149,https://cdn.rebrickable.com/media/sets/3183-1.jpg
Adventure Camper,2012,Friends,494,325,https://cdn.rebrickable.com/media/sets/3184-1.jpg
Summer Riding Camp,2012,Friends,494,1160,https://cdn.rebrickable.com/media/sets/3185-1.jpg
Emma's  Horse Trailer,2012,Friends,494,233,https://cdn.rebrickable.com/media/sets/3186-1.jpg
Butterfly Beauty Shop,2012,Friends,494,241,https://cdn.rebrickable.com/media/sets/3187-1.jpg
Heartlake Vet,2012,Friends,494,371,https://cdn.rebrickable.com/media/sets/3188-1.jpg
Heartlake Stables,2012,Friends,494,426,https://cdn.rebrickable.com/media/sets/3189-1.jpg
Truck with Trailer,1965,System,365,74,https://cdn.rebrickable.com/media/sets/319-1.jpg
50 Jahre Anniversary Bucket,2006,Basic Set,505,103,https://cdn.rebrickable.com/media/sets/3191-1.jpg
Truck with Trailer,1968,Samsonite,756,74,https://cdn.rebrickable.com/media/sets/319-2.jpg
Fashion Designer Kit,2005,Clikits,500,13,https://cdn.rebrickable.com/media/sets/3193-1.jpg
Bracelet Heart,2004,Clikits,500,9,https://cdn.rebrickable.com/media/sets/3194-1.jpg
"Bracelet, Daisy",2004,Clikits,500,9,https://cdn.rebrickable.com/media/sets/3195-1.jpg
"Bracelet, Star",2004,Clikits,500,9,https://cdn.rebrickable.com/media/sets/3196-1.jpg
Small Aircraft,2001,Airlines,729,16,https://cdn.rebrickable.com/media/sets/3197-1.jpg
Beauty Studio,1997,Scala,668,40,https://cdn.rebrickable.com/media/sets/3200-1.jpg
Basic Building Set,1985,Basic,467,78,https://cdn.rebrickable.com/media/sets/320-1.jpg
Living Room,1997,Scala,668,38,https://cdn.rebrickable.com/media/sets/3201-1.jpg
Two-Engine Airplane,1965,System,365,120,https://cdn.rebrickable.com/media/sets/320-2.jpg
Laundry Room,1997,Scala,668,44,https://cdn.rebrickable.com/media/sets/3202-1.jpg
Two-Engine Plane,1968,Samsonite,756,120,https://cdn.rebrickable.com/media/sets/320-3.jpg
Dressing Table,1997,Scala,668,25,https://cdn.rebrickable.com/media/sets/3203-1.jpg
Auntie Jane and Cousin Sophie,1998,Scala,668,30,https://cdn.rebrickable.com/media/sets/3204-1.jpg
Julie's (Andrea's) Picnic Lunch,1998,Scala,668,31,https://cdn.rebrickable.com/media/sets/3205-1.jpg
Ashley's Snack Time (Emma Making Lunch),1998,Scala,668,29,https://cdn.rebrickable.com/media/sets/3206-1.jpg
Party Dress and Accessories,1998,Scala,668,28,https://cdn.rebrickable.com/media/sets/3210-1.jpg
Clowns,1965,System,365,223,https://cdn.rebrickable.com/media/sets/321-1.jpg
Girls' Dress and Accessories,1998,Scala,668,26,https://cdn.rebrickable.com/media/sets/3211-1.jpg
Star Teether,2001,Primo,440,1,https://cdn.rebrickable.com/media/sets/3212-1.jpg
MINI TIE Fighter,2002,Star Wars,158,12,https://cdn.rebrickable.com/media/sets/3219-1.jpg
Large Ship Set,1973,Minitalia,433,57,https://cdn.rebrickable.com/media/sets/32-2.jpg
Christian with Gifts,1998,Scala,668,23,https://cdn.rebrickable.com/media/sets/3220-1.jpg
Basic Set,1981,Universal Building Set,465,82,https://cdn.rebrickable.com/media/sets/322-1.jpg
LEGO Truck,2010,Traffic,63,278,https://cdn.rebrickable.com/media/sets/3221-1.jpg
Town House,1964,System,365,171,https://cdn.rebrickable.com/media/sets/322-2.jpg
Helicopter and Limousine,2010,Airport,53,267,https://cdn.rebrickable.com/media/sets/3222-1.jpg
Basic Building Set + Storage Case,1983,Universal Building Set,465,1,https://cdn.rebrickable.com/media/sets/322-3.jpg
Orange Fish,2003,Designer Sets,204,43,https://cdn.rebrickable.com/media/sets/3223-1.jpg
Educational Gear Set,1969,Samsonite,523,43,https://cdn.rebrickable.com/media/sets/322-4.jpg
Classic Train,1998,9V,236,282,https://cdn.rebrickable.com/media/sets/3225-1.jpg
Cars and Planes,1998,Freestyle,399,311,https://cdn.rebrickable.com/media/sets/3226-1.jpg
Train,1964,System,365,253,https://cdn.rebrickable.com/media/sets/323-1.jpg
Fantasy Bird,1998,Airlines,729,32,https://cdn.rebrickable.com/media/sets/3233-1.jpg
Fantasy Boat,1998,Freestyle,399,28,https://cdn.rebrickable.com/media/sets/3234-1.jpg
Soft Ladybird and Bee,2001,Primo,440,1,https://cdn.rebrickable.com/media/sets/3235-1.jpg
Roll 'n' Play,2001,Primo,440,1,https://cdn.rebrickable.com/media/sets/3236-1.jpg
Stacking Tower,2001,Primo,440,5,https://cdn.rebrickable.com/media/sets/3237-1.jpg
Shape and Colour Sorter,2001,Primo,440,9,https://cdn.rebrickable.com/media/sets/3238-1.jpg
Andrea's Miniature Garden,1997,Scala,668,65,https://cdn.rebrickable.com/media/sets/3240-1.jpg
Ricky Racoon on his Scooter,1979,Fabuland,390,2,https://cdn.rebrickable.com/media/sets/324-1.jpg
Nursery,1997,Scala,668,61,https://cdn.rebrickable.com/media/sets/3241-1.jpg
House with Garage,1964,System,365,174,https://cdn.rebrickable.com/media/sets/324-2.jpg
Bathroom,1997,Scala,668,92,https://cdn.rebrickable.com/media/sets/3242-1.jpg
Kitchen,1997,Scala,668,111,https://cdn.rebrickable.com/media/sets/3243-1.jpg
Basic Building Set,1990,Basic,467,110,https://cdn.rebrickable.com/media/sets/325-1.jpg
Percy Pig and his Barrow,1979,Fabuland,390,6,https://cdn.rebrickable.com/media/sets/325-2.jpg
Shell Service Station,1966,System,365,101,https://cdn.rebrickable.com/media/sets/325-3.jpg
Kanoka Launcher And Disc,2004,Bionicle,324,2,https://cdn.rebrickable.com/media/sets/3259-1.jpg
Small Cottage,1965,System,365,63,https://cdn.rebrickable.com/media/sets/326-1.jpg
Suburban Set,1968,Samsonite,756,0,https://cdn.rebrickable.com/media/sets/326-2.jpg
Goozle,2001,Zooters,666,10,https://cdn.rebrickable.com/media/sets/3263-1.jpg
Tez,2001,Zooters,666,9,https://cdn.rebrickable.com/media/sets/3264-1.jpg
Wazo,2001,Zooters,666,6,https://cdn.rebrickable.com/media/sets/3265-1.jpg
Tubes,2001,Basic Set,505,58,https://cdn.rebrickable.com/media/sets/3266-1.jpg
Brick Runner,2001,Basic Set,505,25,https://cdn.rebrickable.com/media/sets/3267-1.jpg
Dream Cottage,1997,Scala,668,133,https://cdn.rebrickable.com/media/sets/3270-1.jpg
Basic Building Set,1987,Basic,467,107,https://cdn.rebrickable.com/media/sets/327-1.jpg
Bob's Workshop,2001,Bob the Builder,626,11,https://cdn.rebrickable.com/media/sets/3271-1.jpg
Scoop on the Road,2001,Bob the Builder,626,21,https://cdn.rebrickable.com/media/sets/3272-1.jpg
"Bob, Lofty and the Mice",2001,Bob the Builder,626,20,https://cdn.rebrickable.com/media/sets/3273-1.jpg
Bob and Muck Repair the Barn,2001,Bob the Builder,626,37,https://cdn.rebrickable.com/media/sets/3274-1.jpg
Bob's Big Building Box,2001,Bob the Builder,626,52,https://cdn.rebrickable.com/media/sets/3275-1.jpg
Muck and Scoop,2001,Bob the Builder,626,54,https://cdn.rebrickable.com/media/sets/3276-1.jpg
